SIZE,ROW_N_A,COL_N_A,COL_N_B,BLOCK_ROW_N,BLOCK_COL_N,time
1,1024,1024,1024,16,16,4.677442
1,1024,1024,1024,64,64,4.536321
1,1024,1024,1024,256,256,5.018321
2,1024,1024,1024,16,16,3.415000
2,1024,1024,1024,64,64,2.318084
2,1024,1024,1024,256,256,2.422210
4,1024,1024,1024,16,16,2.557153
4,1024,1024,1024,64,64,1.169189
4,1024,1024,1024,256,256,1.080100
8,1024,1024,1024,16,16,2.007082
8,1024,1024,1024,64,64,0.688902
8,1024,1024,1024,256,256,0.573467
16,1024,1024,1024,16,16,1.840753
16,1024,1024,1024,64,64,0.434525
16,1024,1024,1024,256,256,0.319158
32,1024,1024,1024,16,16,3.914196
32,1024,1024,1024,64,64,0.466097
32,1024,1024,1024,256,256,0.235576
64,1024,1024,1024,16,16,5.401280
64,1024,1024,1024,64,64,0.544347
64,1024,1024,1024,256,256,0.221989
128,1024,1024,1024,16,16,6.003232
128,1024,1024,1024,64,64,0.627612
128,1024,1024,1024,256,256,0.236461
256,1024,1024,1024,16,16,7.872672
256,1024,1024,1024,64,64,0.763254
256,1024,1024,1024,256,256,0.309902
